eventType,eventTime,transactionTime,symbol,clientOrderId,side,type,timeInForce,origQty,price,avgPrice,stopPrice,executionType,orderStatus,orderId,lastFilledQty,cumulativeFilledQty,lastFilledPrice,commissionAsset,commissionAmount,orderTradeTime,tradeID,bidsNotional,asksNotional,isMarkerSide,isReduceOnly,workingType,isClosePosition,activationPrice,callbackRate,positionSide
ORDER_TRADE_UPDATE,1630939440688,1630939440680,ETHUSDT,ETHUSDT1630939440-545d7a96,BUY,MARKET,GTC,0.002,0.0,0.0,0.0,NEW,NEW,8389765506424953805,0.0,0.0,0.0,,,1630939440680,0,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630939440688,1630939440680,ETHUSDT,ETHUSDT1630939440-545d7a96,BUY,MARKET,GTC,0.002,0.0,3934.05,0.0,TRADE,FILLED,8389765506424953805,0.002,0.002,3934.05,USDT,0.00314724,1630939440680,1029378950,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630939731187,1630939731181,ETHUSDT,ETHUSDT1630939731-df5302de,SELL,MARKET,GTC,0.001,0.0,0.0,0.0,NEW,NEW,8389765506425131622,0.0,0.0,0.0,,,1630939731181,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630939731187,1630939731181,ETHUSDT,ETHUSDT1630939731-df5302de,SELL,MARKET,GTC,0.001,0.0,3938.65,0.0,TRADE,FILLED,8389765506425131622,0.001,0.001,3938.65,USDT,0.00157546,1630939731181,1029385513,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630940160692,1630940160685,ETHUSDT,ETHUSDT1630940160-c3b1a075,SELL,MARKET,GTC,0.001,0.0,0.0,0.0,NEW,NEW,8389765506425399240,0.0,0.0,0.0,,,1630940160685,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630940160692,1630940160685,ETHUSDT,ETHUSDT1630940160-c3b1a075,SELL,MARKET,GTC,0.001,0.0,3943.72,0.0,TRADE,FILLED,8389765506425399240,0.001,0.001,3943.72,USDT,0.00157748,1630940160685,1029396263,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630940161360,1630940161356,ETHUSDT,ETHUSDT1630940161-ce209f63,SELL,MARKET,GTC,0.002,0.0,0.0,0.0,NEW,NEW,8389765506425399557,0.0,0.0,0.0,,,1630940161356,0,0.0,0.0,False,False,CONTRACT_PRICE,False,,,SHORT
ORDER_TRADE_UPDATE,1630940161361,1630940161356,ETHUSDT,ETHUSDT1630940161-ce209f63,SELL,MARKET,GTC,0.002,0.0,3943.72,0.0,TRADE,FILLED,8389765506425399557,0.002,0.002,3943.72,USDT,0.00315497,1630940161356,1029396277,0.0,0.0,False,False,CONTRACT_PRICE,False,,,SHORT
ORDER_TRADE_UPDATE,1630940444196,1630940444186,ETHUSDT,ETHUSDT1630940444-0d4f629d,BUY,MARKET,GTC,0.001,0.0,0.0,0.0,NEW,NEW,8389765506425580850,0.0,0.0,0.0,,,1630940444186,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,SHORT
ORDER_TRADE_UPDATE,1630940444197,1630940444186,ETHUSDT,ETHUSDT1630940444-0d4f629d,BUY,MARKET,GTC,0.001,0.0,3940.0,0.0,TRADE,FILLED,8389765506425580850,0.001,0.001,3940.0,USDT,0.001576,1630940444186,1029403877,0.0,0.0,False,True,CONTRACT_PRICE,False,,,SHORT
ORDER_TRADE_UPDATE,1630941540680,1630941540676,ETHUSDT,ETHUSDT1630941540-bdada7fe,BUY,MARKET,GTC,0.001,0.0,0.0,0.0,NEW,NEW,8389765506426273638,0.0,0.0,0.0,,,1630941540676,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,SHORT
ORDER_TRADE_UPDATE,1630941540680,1630941540676,ETHUSDT,ETHUSDT1630941540-bdada7fe,BUY,MARKET,GTC,0.001,0.0,3937.49,0.0,TRADE,FILLED,8389765506426273638,0.001,0.001,3937.49,USDT,0.00157499,1630941540676,1029435125,0.0,0.0,False,True,CONTRACT_PRICE,False,,,SHORT
ORDER_TRADE_UPDATE,1630941541992,1630941541986,ETHUSDT,ETHUSDT1630941541-aa63404d,BUY,MARKET,GTC,0.002,0.0,0.0,0.0,NEW,NEW,8389765506426274718,0.0,0.0,0.0,,,1630941541986,0,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630941541992,1630941541986,ETHUSDT,ETHUSDT1630941541-aa63404d,BUY,MARKET,GTC,0.002,0.0,3937.09,0.0,TRADE,FILLED,8389765506426274718,0.002,0.002,3937.09,USDT,0.00314967,1630941541986,1029435185,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
