eventType,eventTime,transactionTime,symbol,clientOrderId,side,type,timeInForce,origQty,price,avgPrice,stopPrice,executionType,orderStatus,orderId,lastFilledQty,cumulativeFilledQty,lastFilledPrice,commissionAsset,commissionAmount,orderTradeTime,tradeID,bidsNotional,asksNotional,isMarkerSide,isReduceOnly,workingType,isClosePosition,activationPrice,callbackRate,positionSide
ORDER_TRADE_UPDATE,1630987500597,1630987500592,ETHUSDT,ETHUSDT1630987500-fb52bafe,BUY,MARKET,GTC,0.003,0.0,0.0,0.0,NEW,NEW,8389765506455643255,0.0,0.0,0.0,,,1630987500592,0,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630987500597,1630987500592,ETHUSDT,ETHUSDT1630987500-fb52bafe,BUY,MARKET,GTC,0.003,0.0,3909.79,0.0,TRADE,FILLED,8389765506455643255,0.003,0.003,3909.79,USDT,0.00469174,1630987500592,1030528378,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630989507067,1630989507063,ETHUSDT,ETHUSDT1630989507-82560522,SELL,MARKET,GTC,0.001,0.0,0.0,0.0,NEW,NEW,8389765506456700404,0.0,0.0,0.0,,,1630989507063,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630989507067,1630989507063,ETHUSDT,ETHUSDT1630989507-82560522,SELL,MARKET,GTC,0.001,0.0,3924.62,0.0,TRADE,FILLED,8389765506456700404,0.001,0.001,3924.62,USDT,0.00156984,1630989507063,1030565950,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630989508579,1630989508571,ETHUSDT,ETHUSDT1630989508-b13d0115,SELL,MARKET,GTC,0.001,0.0,0.0,0.0,NEW,NEW,8389765506456701696,0.0,0.0,0.0,,,1630989508571,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630989508579,1630989508571,ETHUSDT,ETHUSDT1630989508-b13d0115,SELL,MARKET,GTC,0.001,0.0,3924.95,0.0,TRADE,FILLED,8389765506456701696,0.001,0.001,3924.95,USDT,0.00156998,1630989508571,1030565983,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630998112560,1630998112555,ETHUSDT,ETHUSDT1630998112-d84b106a,BUY,MARKET,GTC,0.003,0.0,0.0,0.0,NEW,NEW,8389765506461876871,0.0,0.0,0.0,,,1630998112555,0,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1630998112560,1630998112555,ETHUSDT,ETHUSDT1630998112-d84b106a,BUY,MARKET,GTC,0.003,0.0,3909.64,0.0,TRADE,FILLED,8389765506461876871,0.003,0.003,3909.64,USDT,0.00469156,1630998112555,1030757587,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1631001900603,1631001900596,ETHUSDT,ETHUSDT1631001900-63497684,BUY,MARKET,GTC,0.002,0.0,0.0,0.0,NEW,NEW,8389765506465182902,0.0,0.0,0.0,,,1631001900596,0,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1631001900603,1631001900596,ETHUSDT,ETHUSDT1631001900-63497684,BUY,MARKET,GTC,0.002,0.0,3881.41,0.0,TRADE,FILLED,8389765506465182902,0.002,0.002,3881.41,USDT,0.00310512,1631001900596,1030929011,0.0,0.0,False,False,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1631010483601,1631010483598,ETHUSDT,ETHUSDT1631010483-6ef95c3d,SELL,MARKET,GTC,0.003,0.0,0.0,0.0,NEW,NEW,8389765506476805361,0.0,0.0,0.0,,,1631010483598,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1631010483601,1631010483598,ETHUSDT,ETHUSDT1631010483-6ef95c3d,SELL,MARKET,GTC,0.003,0.0,3750.0,0.0,TRADE,FILLED,8389765506476805361,0.003,0.003,3750.0,USDT,0.00449999,1631010483598,1031744405,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1631010485173,1631010485171,ETHUSDT,ETHUSDT1631010485-980691bd,SELL,MARKET,GTC,0.001,0.0,0.0,0.0,NEW,NEW,8389765506476812371,0.0,0.0,0.0,,,1631010485171,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1631010485173,1631010485171,ETHUSDT,ETHUSDT1631010485-980691bd,SELL,MARKET,GTC,0.001,0.0,3757.39,0.0,TRADE,FILLED,8389765506476812371,0.001,0.001,3757.39,USDT,0.00150295,1631010485171,1031745927,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1631010486180,1631010486176,ETHUSDT,ETHUSDT1631010486-45f9d7f9,SELL,MARKET,GTC,0.001,0.0,0.0,0.0,NEW,NEW,8389765506476815127,0.0,0.0,0.0,,,1631010486176,0,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
ORDER_TRADE_UPDATE,1631010486180,1631010486176,ETHUSDT,ETHUSDT1631010486-45f9d7f9,SELL,MARKET,GTC,0.001,0.0,3757.43,0.0,TRADE,FILLED,8389765506476815127,0.001,0.001,3757.43,USDT,0.00150297,1631010486176,1031746312,0.0,0.0,False,True,CONTRACT_PRICE,False,,,LONG
